id_ets_seo_redirect;name;url;target;type;active;id_shop
59;;pmma-coule-dual-satin-36/pmma-coule-blanc-dual-satin-altuglas-391.html;https://www.plexi-cindar.com/plexiglas/369-pmma-coule-blanc-dual-satin-altuglas-145-27014-5-mm-prix-au-m-pmma-coule-blanc-dual-satin-altuglas-.html;301;1;1
60;;achat/cat-elements-de-vitrines-et-de-comptoirs-31.html?tri=prix&sort=desc;https://www.plexi-cindar.com/52-boites-clipsables;301;1;1
61;;pmma-coule-diffusant-colore-33/pmma-coule-bleu-diffusant-altuglas-198.html;https://www.plexi-cindar.com/plexiglas-blanc/379-pmma-coule-bleu-diffusant-altuglas-100-23008.html;301;1;1
62;;polyester-apet-petg-3/apet-incolore-1-mm-prix-au-m--130.html;https://www.plexi-cindar.com/48-incolore--48;301;1;1
63;;achat/cat-pmma-diffusant-led-blanc-et-colore-46.html?tri=prix&sort=desc;https://www.plexi-cindar.com/plexiglas/467-pmma-coule-blanc-diffusant-moyen-altuglas.html;301;1;1
64;;echantillons-32/echantillon-noir-mat-3mm-altuglas-439.html;https://www.plexi-cindar.com/plexiglas-noir/486-pmma-coule-noir-mat-1-face-altuglas-121-48000-3-mm.html;301;1;1
65;;pmma-coule-transparent-colore-altuglas-16/pmma-coule-violet-transparent-colore-179.html;https://www.plexi-cindar.com/plexiglas-teinte/380-pmma-coule-violet-transparent-setacryl-100-21030-3-mm-prix-au-m-pmma-coule-jaune-diffusant-altuglas-1231.html;301;1;1
66;;echantillons-32/echantillon-pc-incolore-3mm--338.html;https://www.plexi-cindar.com/plexiglas/356-pmma-coule-incolore-plexiglas-3mm.html;301;1;1
67;;achat/cat-polyester-apet-petg-3.html?tri=nom_fr&sort=asc;https://www.plexi-cindar.com/26-polyester;301;1;1
68;;achat/?tri=nom_fr&sort=asc&page=4;"https://www.plexi-cindar.com/ ";301;1;1
69;;pmma-diffusant-led-blanc-et-colore-46/pmma-coule-led-blanc-altuglas-100-529.html;https://www.plexi-cindar.com/plexiglas/468-pmma-coule-blanc-diffusant-moyen-altuglas.html;301;1;1
70;;echantillons-32/echantillon-blanc-diffusant-3mm-269.html;https://www.plexi-cindar.com/plexiglas/366-pmma-coule-blanc-diffusant-moyen-altuglas.html;301;1;1
71;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-diametre-450mm-sans-458.html;https://www.plexi-cindar.com/produits-standards/573-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-450mm-avec-collerette.html;301;1;1
72;;echantillons-32/echantillon-fume-bronze-fonce-transparent-234.html;https://www.plexi-cindar.com/plexiglas-teinte/445-pmma-coule-fume-bronze-fonce-transparent-altuglas-100-16032.html;301;1;1
73;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=nom_fr&sort=asc&page=4;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
74;;echantillons-32/echantillon-pmma-xt-miroir-or-3mm-443.html;https://www.plexi-cindar.com/plexiglas/364-pmma-extrude-miroir-or-3mm.html;301;1;1
75;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-plexi-diametre-350mm-454.html;https://www.plexi-cindar.com/produits-standards/568-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-350mm-avec-collerette.html;301;1;1
76;;achat/cat-plaques-plastiques-sur-mesure-40.html?page=8;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
77;;achat/cat-pmma-coule-transparent-incolore-13.html?tri=prix&sort=desc;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
78;;echantillons-32/echantillon-pmma-incolore-coule-388.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
79;;echantillons-32/echantillon-noir-3mm-altuglas-10148000-237.html;https://www.plexi-cindar.com/plexiglas-noir/470-pmma-coule-noir-opaque-altuglas-101-48000-3-mm.html;301;1;1
80;;achat/cat-pmma-coule-5.html;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
81;;pmma-coule-dual-satin-36/pmma-coule-blanc-dual-satin-altuglas-394.html;https://www.plexi-cindar.com/plexiglas/455-pmma-coule-blanc-dual-satin-altuglas-145-27014-3mm.html;301;1;1
82;;pmma-diffusant-led-blanc-et-colore-46/pmma-coule-led-vert-fonce-altuglas-583.html;https://www.plexi-cindar.com/plexiglas-de-couleur/413-pmma-coule-led-vert-fonce-altuglas-121-24142-3mm.html;301;1;1
83;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-plexi-diametre-300mm-453.html;https://www.plexi-cindar.com/produits-standards/566-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-300mm-avec-collerette.html;301;1;1
84;;search.php?search=;https://www.plexi-cindar.com/;301;1;1
85;;boite-plexiglas-altuglas-47/boite-plexi-400x400x400mm-594.html;https://www.plexi-cindar.com/boites-clipsables/641-boite-plexi-400x400x400mm.html;301;1;1
86;;demi-bulles-demi-spheres-plexiglas-35/demi-bulle-plexi-diametre-250mm-452.html;https://www.plexi-cindar.com/produits-standards/564-demi-bulle-altuglas-plexiglas-setacryl-incolore-diametre-exterieur-200mm-avec-collerette.html;301;1;1
87;;boite-plexiglas-altuglas-47/boite-plexi-100x100x100mm-591.html;https://www.plexi-cindar.com/boites-clipsables/646-boite-plexi-100x100x100mm.html;301;1;1
88;;achat/cat-plaques-plastiques-sur-mesure-40.html;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
89;;pmma-coule-diffusant-translucide-14/pmma-coule-blanc-diffusant-moyen-60.html;https://www.plexi-cindar.com/plexiglas/463-pmma-coule-blanc-diffusant-moyen-altuglas-100-27000-4mm.html;301;1;1
90;;pmma-coule-transparent-incolore-13/pmma-coule-incolore-plexiglas-10-43.html;https://www.plexi-cindar.com/plexiglas/427-pmma-coule-incolore-plexiglas-.html;301;1;1
